Choose Break Down;Channel (paid/unpaid) (h1);Channel (h1);Measure Names;Date granularity;Registration Year;Measure Values
fr_FR;PAID;SEO;Call Price par Room Night;1;2025;95,345624243
fr_FR;PAID;SEO;Bkg per 100 leads Net;1;2025;2,213613724
fr_FR;PAID;SEO;Bookings;1;2025;640
fr_FR;PAID;SEO;TTV per lead Net;1;2025;44,648861322
fr_FR;PAID;SEO;TTV;1;2025;1290887,87853374
fr_FR;PAID;SEO;ROI;1;2025;39,370591424
fr_FR;PAID;SEO;CPL;1;2025;1,134066310
fr_FR;PAID;SEO;Costs;1;2025;32788,125141816
fr_FR;PAID;SEO;Leads Double Net;1;2025;28912
fr_FR;PAID;SEO;Hard Bounces;1;2025;428
fr_FR;PAID;SEO;Leads Double Gross;1;2025;29340
fr_FR;PAID;SEO;Call Price par Room Night;2;2025;93,608595034
fr_FR;PAID;SEO;Bkg per 100 leads Net;2;2025;2,529892433
fr_FR;PAID;SEO;Bookings;2;2025;548
fr_FR;PAID;SEO;TTV per lead Net;2;2025;45,677253601
fr_FR;PAID;SEO;TTV;2;2025;989414,990240848
fr_FR;PAID;SEO;ROI;2;2025;31,385919317
fr_FR;PAID;SEO;CPL;2;2025;1,455342223
fr_FR;PAID;SEO;Costs;2;2025;31524,167899646
fr_FR;PAID;SEO;Leads Double Net;2;2025;21661
fr_FR;PAID;SEO;Hard Bounces;2;2025;51
fr_FR;PAID;SEO;Leads Double Gross;2;2025;21711
fr_FR;PAID;SEO;Call Price par Room Night;3;2025;93,723394071
fr_FR;PAID;SEO;Bkg per 100 leads Net;3;2025;2,686539700
fr_FR;PAID;SEO;Bookings;3;2025;584
fr_FR;PAID;SEO;TTV per lead Net;3;2025;45,757728398
fr_FR;PAID;SEO;TTV;3;2025;994681,499910392
fr_FR;PAID;SEO;ROI;3;2025;28,449228259
fr_FR;PAID;SEO;CPL;3;2025;1,608399637
fr_FR;PAID;SEO;Costs;3;2025;34963,391304348
fr_FR;PAID;SEO;Leads Double Net;3;2025;21738
fr_FR;PAID;SEO;Hard Bounces;3;2025;31
fr_FR;PAID;SEO;Leads Double Gross;3;2025;21767
fr_FR;PAID;SEO;Call Price par Room Night;4;2025;94,583661933
fr_FR;PAID;SEO;Bkg per 100 leads Net;4;2025;2,053901892
fr_FR;PAID;SEO;Bookings;4;2025;394
fr_FR;PAID;SEO;TTV per lead Net;4;2025;37,668734356
fr_FR;PAID;SEO;TTV;4;2025;722599,331155097
fr_FR;PAID;SEO;ROI;4;2025;20,280044487
fr_FR;PAID;SEO;CPL;4;2025;1,857428586
fr_FR;PAID;SEO;Costs;4;2025;35631,052565967
fr_FR;PAID;SEO;Leads Double Net;4;2025;19183
fr_FR;PAID;SEO;Hard Bounces;4;2025;116
fr_FR;PAID;SEO;Leads Double Gross;4;2025;19297
fr_FR;PAID;SEO;Call Price par Room Night;5;2025;98,734445763
fr_FR;PAID;SEO;Bkg per 100 leads Net;5;2025;2,207891573
fr_FR;PAID;SEO;Bookings;5;2025;404
fr_FR;PAID;SEO;TTV per lead Net;5;2025;42,201536804
fr_FR;PAID;SEO;TTV;5;2025;772203,72043623
fr_FR;PAID;SEO;ROI;5;2025;21,687054363
fr_FR;PAID;SEO;CPL;5;2025;1,945932172
fr_FR;PAID;SEO;Costs;5;2025;35606,666885688
fr_FR;PAID;SEO;Leads Double Net;5;2025;18298
fr_FR;PAID;SEO;Hard Bounces;5;2025;106
fr_FR;PAID;SEO;Leads Double Gross;5;2025;18404
fr_FR;PAID;SEO;Call Price par Room Night;6;2025;100,962021181
fr_FR;PAID;SEO;Bkg per 100 leads Net;6;2025;2,204044535
fr_FR;PAID;SEO;Bookings;6;2025;388
fr_FR;PAID;SEO;TTV per lead Net;6;2025;46,499386597
fr_FR;PAID;SEO;TTV;6;2025;818575,201653656
fr_FR;PAID;SEO;ROI;6;2025;22,502064488
fr_FR;PAID;SEO;CPL;6;2025;2,066449797
fr_FR;PAID;SEO;Costs;6;2025;36377,782229274
fr_FR;PAID;SEO;Leads Double Net;6;2025;17604
fr_FR;PAID;SEO;Hard Bounces;6;2025;125
fr_FR;PAID;SEO;Leads Double Gross;6;2025;17729
fr_FR;PAID;SEO;Call Price par Room Night;7;2025;105,178344807
fr_FR;PAID;SEO;Bkg per 100 leads Net;7;2025;2,392692588
fr_FR;PAID;SEO;Bookings;7;2025;592
fr_FR;PAID;SEO;TTV per lead Net;7;2025;50,638333687
fr_FR;PAID;SEO;TTV;7;2025;1252893,65207905
fr_FR;PAID;SEO;ROI;7;2025;33,549313514
fr_FR;PAID;SEO;CPL;7;2025;1,509370189
fr_FR;PAID;SEO;Costs;7;2025;37344,837221124
fr_FR;PAID;SEO;Leads Double Net;7;2025;24742
fr_FR;PAID;SEO;Hard Bounces;7;2025;148
fr_FR;PAID;SEO;Leads Double Gross;7;2025;24889
fr_FR;PAID;SEO;Call Price par Room Night;8;2025;100,078305055
fr_FR;PAID;SEO;Bkg per 100 leads Net;8;2025;2,314449040
fr_FR;PAID;SEO;Bookings;8;2025;498
fr_FR;PAID;SEO;TTV per lead Net;8;2025;43,895616497
fr_FR;PAID;SEO;TTV;8;2025;944501,98015569
fr_FR;PAID;SEO;ROI;8;2025;26,846330668
fr_FR;PAID;SEO;CPL;8;2025;1,635069501
fr_FR;PAID;SEO;Costs;8;2025;35181,790458459
fr_FR;PAID;SEO;Leads Double Net;8;2025;21517
fr_FR;PAID;SEO;Hard Bounces;8;2025;132
fr_FR;PAID;SEO;Leads Double Gross;8;2025;21649
fr_FR;PAID;SEO;Call Price par Room Night;9;2025;94,984800485
fr_FR;PAID;SEO;Bkg per 100 leads Net;9;2025;2,273465411
fr_FR;PAID;SEO;Bookings;9;2025;350
fr_FR;PAID;SEO;TTV per lead Net;9;2025;41,454515174
fr_FR;PAID;SEO;TTV;9;2025;638192,261108305
fr_FR;PAID;SEO;ROI;9;2025;16,680951638
fr_FR;PAID;SEO;CPL;9;2025;2,485140900
fr_FR;PAID;SEO;Costs;9;2025;38258,744161842
fr_FR;PAID;SEO;Leads Double Net;9;2025;15395
fr_FR;PAID;SEO;Hard Bounces;9;2025;100
fr_FR;PAID;SEO;Leads Double Gross;9;2025;15495
fr_FR;PAID;SEO;Call Price par Room Night;10;2025;95,111154017
fr_FR;PAID;SEO;Bkg per 100 leads Net;10;2025;2,673626583
fr_FR;PAID;SEO;Bookings;10;2025;420
fr_FR;PAID;SEO;TTV per lead Net;10;2025;47,534155588
fr_FR;PAID;SEO;TTV;10;2025;746714,050126906
fr_FR;PAID;SEO;ROI;10;2025;20,098777084
fr_FR;PAID;SEO;CPL;10;2025;2,365027255
fr_FR;PAID;SEO;Costs;10;2025;37152,213142966
fr_FR;PAID;SEO;Leads Double Net;10;2025;15709
fr_FR;PAID;SEO;Hard Bounces;10;2025;104
fr_FR;PAID;SEO;Leads Double Gross;10;2025;15813
fr_FR;PAID;SEO;Call Price par Room Night;11;2025;96,520676207
fr_FR;PAID;SEO;Bkg per 100 leads Net;11;2025;2,623119455
fr_FR;PAID;SEO;Bookings;11;2025;408
fr_FR;PAID;SEO;TTV per lead Net;11;2025;52,686795636
fr_FR;PAID;SEO;TTV;11;2025;819490,419328103
fr_FR;PAID;SEO;ROI;11;2025;22,782012794
fr_FR;PAID;SEO;CPL;11;2025;2,312648848
fr_FR;PAID;SEO;Costs;11;2025;35970,940177538
fr_FR;PAID;SEO;Leads Double Net;11;2025;15554
fr_FR;PAID;SEO;Hard Bounces;11;2025;91
fr_FR;PAID;SEO;Leads Double Gross;11;2025;15645
fr_FR;PAID;SEO;Call Price par Room Night;12;2025;96,944627287
fr_FR;PAID;SEO;Bkg per 100 leads Net;12;2025;1,936846443
fr_FR;PAID;SEO;Bookings;12;2025;376
fr_FR;PAID;SEO;TTV per lead Net;12;2025;34,073495075
fr_FR;PAID;SEO;TTV;12;2025;661468,759884246
fr_FR;PAID;SEO;ROI;12;2025;8,813364675
fr_FR;PAID;SEO;CPL;12;2025;3,866116555
fr_FR;PAID;SEO;Costs;12;2025;75052,920682215
fr_FR;PAID;SEO;Leads Double Net;12;2025;19413
fr_FR;PAID;SEO;Hard Bounces;12;2025;85
fr_FR;PAID;SEO;Leads Double Gross;12;2025;19498
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;1;2025;91,723425939
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;1;2025;2,034540345
fr_FR;UNPAID;SIGN UP PAGE;Bookings;1;2025;999
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;1;2025;38,737855728
fr_FR;UNPAID;SIGN UP PAGE;TTV;1;2025;1902106,19194871
fr_FR;UNPAID;SIGN UP PAGE;ROI;1;2025;17,767418408
fr_FR;UNPAID;SIGN UP PAGE;CPL;1;2025;2,180274863
fr_FR;UNPAID;SIGN UP PAGE;Costs;1;2025;107055,8563034
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;1;2025;49102
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;1;2025;677
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;1;2025;49776
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;2;2025;91,817388171
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;2;2025;1,956947162
fr_FR;UNPAID;SIGN UP PAGE;Bookings;2;2025;710
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;2;2025;36,420776961
fr_FR;UNPAID;SIGN UP PAGE;TTV;2;2025;1321382,20892526
fr_FR;UNPAID;SIGN UP PAGE;ROI;2;2025;23,918805064
fr_FR;UNPAID;SIGN UP PAGE;CPL;2;2025;1,522683799
fr_FR;UNPAID;SIGN UP PAGE;Costs;2;2025;55244,490908499
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;2;2025;36281
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;2;2025;94
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;2;2025;36373
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;3;2025;90,429745881
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;3;2025;2,124205487
fr_FR;UNPAID;SIGN UP PAGE;Bookings;3;2025;772
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;3;2025;37,644907953
fr_FR;UNPAID;SIGN UP PAGE;TTV;3;2025;1368128,88973364
fr_FR;UNPAID;SIGN UP PAGE;ROI;3;2025;22,574005145
fr_FR;UNPAID;SIGN UP PAGE;CPL;3;2025;1,667622015
fr_FR;UNPAID;SIGN UP PAGE;Costs;3;2025;60606,386900201
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;3;2025;36343
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;3;2025;73
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;3;2025;36415
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;4;2025;92,502608248
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;4;2025;2,122141750
fr_FR;UNPAID;SIGN UP PAGE;Bookings;4;2025;671
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;4;2025;40,123437555
fr_FR;UNPAID;SIGN UP PAGE;TTV;4;2025;1268662,97205177
fr_FR;UNPAID;SIGN UP PAGE;ROI;4;2025;19,605677603
fr_FR;UNPAID;SIGN UP PAGE;CPL;4;2025;2,046521338
fr_FR;UNPAID;SIGN UP PAGE;Costs;4;2025;64708,95817782
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;4;2025;31619
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;4;2025;171
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;4;2025;31790
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;5;2025;95,462309627
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;5;2025;1,988956665
fr_FR;UNPAID;SIGN UP PAGE;Bookings;5;2025;688
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;5;2025;34,865166705
fr_FR;UNPAID;SIGN UP PAGE;TTV;5;2025;1206020,98150908
fr_FR;UNPAID;SIGN UP PAGE;ROI;5;2025;12,482610534
fr_FR;UNPAID;SIGN UP PAGE;CPL;5;2025;2,793098976
fr_FR;UNPAID;SIGN UP PAGE;Costs;5;2025;96616,086695976
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;5;2025;34591
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;5;2025;232
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;5;2025;34823
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;6;2025;100,646640967
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;6;2025;2,320994148
fr_FR;UNPAID;SIGN UP PAGE;Bookings;6;2025;706
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;6;2025;49,264356945
fr_FR;UNPAID;SIGN UP PAGE;TTV;6;2025;1498523,20956637
fr_FR;UNPAID;SIGN UP PAGE;ROI;6;2025;15,817025940
fr_FR;UNPAID;SIGN UP PAGE;CPL;6;2025;3,114640965
fr_FR;UNPAID;SIGN UP PAGE;Costs;6;2025;94741,148887197
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;6;2025;30418
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;6;2025;220
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;6;2025;30637
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;7;2025;103,089134979
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;7;2025;2,058248679
fr_FR;UNPAID;SIGN UP PAGE;Bookings;7;2025;853
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;7;2025;42,271448037
fr_FR;UNPAID;SIGN UP PAGE;TTV;7;2025;1751855,62099599
fr_FR;UNPAID;SIGN UP PAGE;ROI;7;2025;18,055230858
fr_FR;UNPAID;SIGN UP PAGE;CPL;7;2025;2,341229994
fr_FR;UNPAID;SIGN UP PAGE;Costs;7;2025;97027,594651800
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;7;2025;41443
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;7;2025;233
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;7;2025;41676
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;8;2025;101,185757399
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;8;2025;1,932094232
fr_FR;UNPAID;SIGN UP PAGE;Bookings;8;2025;684
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;8;2025;34,107680649
fr_FR;UNPAID;SIGN UP PAGE;TTV;8;2025;1207480,11032703
fr_FR;UNPAID;SIGN UP PAGE;ROI;8;2025;18,992383740
fr_FR;UNPAID;SIGN UP PAGE;CPL;8;2025;1,795860968
fr_FR;UNPAID;SIGN UP PAGE;Costs;8;2025;63577,069990427
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;8;2025;35402
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;8;2025;221
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;8;2025;35622
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;9;2025;97,659595442
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;9;2025;2,334290351
fr_FR;UNPAID;SIGN UP PAGE;Bookings;9;2025;561
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;9;2025;43,318300290
fr_FR;UNPAID;SIGN UP PAGE;TTV;9;2025;1041068,71087526
fr_FR;UNPAID;SIGN UP PAGE;ROI;9;2025;27,751355240
fr_FR;UNPAID;SIGN UP PAGE;CPL;9;2025;1,560943598
fr_FR;UNPAID;SIGN UP PAGE;Costs;9;2025;37514,157484034
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;9;2025;24033
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;9;2025;159
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;9;2025;24190
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;10;2025;95,421656748
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;10;2025;2,304503333
fr_FR;UNPAID;SIGN UP PAGE;Bookings;10;2025;567
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;10;2025;41,158218994
fr_FR;UNPAID;SIGN UP PAGE;TTV;10;2025;1012656,82012131
fr_FR;UNPAID;SIGN UP PAGE;ROI;10;2025;19,671075278
fr_FR;UNPAID;SIGN UP PAGE;CPL;10;2025;2,092321768
fr_FR;UNPAID;SIGN UP PAGE;Costs;10;2025;51479,484767806
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;10;2025;24604
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;10;2025;179
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;10;2025;24783
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;11;2025;93,026715790
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;11;2025;2,229020979
fr_FR;UNPAID;SIGN UP PAGE;Bookings;11;2025;561
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;11;2025;41,589767510
fr_FR;UNPAID;SIGN UP PAGE;TTV;11;2025;1046731,26868286
fr_FR;UNPAID;SIGN UP PAGE;ROI;11;2025;20,941038763
fr_FR;UNPAID;SIGN UP PAGE;CPL;11;2025;1,986041284
fr_FR;UNPAID;SIGN UP PAGE;Costs;11;2025;49984,687032666
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;11;2025;25168
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;11;2025;279
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;11;2025;25444
fr_FR;UNPAID;SIGN UP PAGE;Call Price par Room Night;12;2025;90,081498552
fr_FR;UNPAID;SIGN UP PAGE;Bkg per 100 leads Net;12;2025;1,689514389
fr_FR;UNPAID;SIGN UP PAGE;Bookings;12;2025;509
fr_FR;UNPAID;SIGN UP PAGE;TTV per lead Net;12;2025;29,874424609
fr_FR;UNPAID;SIGN UP PAGE;TTV;12;2025;900026,790210051
fr_FR;UNPAID;SIGN UP PAGE;ROI;12;2025;57,574505998
fr_FR;UNPAID;SIGN UP PAGE;CPL;12;2025;0,518882865
fr_FR;UNPAID;SIGN UP PAGE;Costs;12;2025;15632,384066641
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Net;12;2025;30127
fr_FR;UNPAID;SIGN UP PAGE;Hard Bounces;12;2025;117
fr_FR;UNPAID;SIGN UP PAGE;Leads Double Gross;12;2025;30244
